level, duration, hits, total_ducks, score, ratio
1, 60, 52.0, 52, 1, 1.0
2, 60, 54.0, 54, 2, 1.0
3, 60, 54.0, 55, 3, 0.9818181818181818
4, 60, 54.0, 54, 4, 1.0
5, 60, 53.0, 53, 5, 1.0
6, 60, 30.0, 31, 6, 0.967741935483871
7, 60, 38.0, 39, 7, 0.9743589743589743
8, 60, 41.0, 41, 8, 1.0
9, 60, 21.0, 21, 9, 1.0
10, 60, 16.0, 17, 10, 0.9411764705882353
11, 60, 11.0, 13, 11, 0.8461538461538461
12, 60, 22.0, 22, 12, 1.0
13, 60, 38.0, 39, 13, 0.9743589743589743
14, 60, 59.0, 59, 14, 1.0
15, 60, 58.0, 59, 15, 0.9830508474576272
16, 60, 48.0, 50, 16, 0.96
17, 60, 51.0, 53, 17, 0.9622641509433962
18, 60, 56.0, 59, 18, 0.9491525423728814
19, 60, 58.0, 59, 19, 0.9830508474576272
20, 60, 12.0, 20, 20, 0.6
21, 60, 24.0, 26, 21, 0.9230769230769231
22, 60, 18.0, 23, 22, 0.782608695652174
23, 60, 43.0, 45, 23, 0.9555555555555556
24, 60, 27.0, 30, 24, 0.9
25, 60, 42.0, 46, 25, 0.9130434782608695
26, 60, 36.0, 39, 26, 0.9230769230769231
27, 60, 51.0, 51, 27, 1.0
28, 60, 55.0, 56, 28, 0.9821428571428571
29, 60, 59.0, 59, 29, 1.0
30, 60, 59.0, 59, 30, 1.0
31, 60, 57.0, 59, 31, 0.9661016949152542
32, 60, 56.0, 59, 32, 0.9491525423728814
33, 60, 58.0, 59, 33, 0.9830508474576272
34, 60, 49.0, 53, 34, 0.9245283018867925
35, 60, 45.0, 52, 35, 0.8653846153846154
36, 60, 45.0, 50, 36, 0.9
37, 60, 58.0, 58, 37, 1.0
38, 60, 56.0, 59, 38, 0.9491525423728814
39, 60, 57.0, 58, 39, 0.9827586206896551
40, 60, 56.0, 58, 40, 0.9655172413793104
41, 60, 53.0, 58, 41, 0.9137931034482759
42, 60, 57.0, 59, 42, 0.9661016949152542
43, 60, 45.0, 52, 43, 0.8653846153846154
44, 60, 52.0, 58, 44, 0.896551724137931
45, 60, 37.0, 43, 45, 0.8604651162790697
46, 60, 34.0, 41, 46, 0.8292682926829268
47, 60, 29.0, 35, 47, 0.8285714285714286
48, 60, 47.0, 51, 48, 0.9215686274509803
49, 60, 47.0, 51, 49, 0.9215686274509803
50, 60, 53.0, 57, 50, 0.9298245614035088
51, 60, 58.0, 59, 51, 0.9830508474576272
52, 60, 58.0, 59, 52, 0.9830508474576272
53, 60, 57.0, 59, 53, 0.9661016949152542
54, 60, 55.0, 59, 54, 0.9322033898305084
55, 60, 57.0, 59, 55, 0.9661016949152542
56, 60, 52.0, 56, 56, 0.9285714285714286
57, 60, 52.0, 57, 57, 0.9122807017543859
58, 60, 47.0, 52, 58, 0.9038461538461539
59, 60, 58.0, 59, 59, 0.9830508474576272
60, 60, 57.0, 59, 60, 0.9661016949152542
61, 60, 55.0, 58, 61, 0.9482758620689655
62, 60, 58.0, 59, 62, 0.9830508474576272
63, 60, 59.0, 59, 63, 1.0
64, 60, 57.0, 59, 64, 0.9661016949152542
65, 60, 53.0, 58, 65, 0.9137931034482759
66, 60, 54.0, 58, 66, 0.9310344827586207
67, 60, 49.0, 54, 67, 0.9074074074074074
68, 60, 51.0, 56, 68, 0.9107142857142857
69, 60, 32.0, 40, 69, 0.8
70, 60, 56.0, 59, 70, 0.9491525423728814
71, 60, 53.0, 57, 71, 0.9298245614035088
72, 60, 49.0, 54, 72, 0.9074074074074074
